cenario,modelo,n_treino,n_teste,MAE,RMSE,WAPE
Sem Pareto (74 categorias),Linear Regression,1036,222,21.50419788386333,35.523009384432484,22.60919692265053
Sem Pareto (74 categorias),Random Forest,1036,222,23.554301801801802,45.059168687074894,24.76464598626569
Sem Pareto (74 categorias),Gradient Boosting,1036,222,24.675457997508257,50.94476418827238,25.943413097072384
Com Pareto (categorias + 'outras'),Linear Regression,322,69,60.73525245382748,73.58318871686096,19.847181715908576
Com Pareto (categorias + 'outras'),Random Forest,322,69,59.827028985507255,78.12650811298005,19.55039071749941
Com Pareto (categorias + 'outras'),Gradient Boosting,322,69,61.525492520622656,83.47482258215405,20.105417873184763
